v2ProductName,SKU_count,SKU
Waze Women's Typography Short Sleeve Tee,12,"GGOEWALJ083415,9184705,9184708,GGOEWXXX0834,GGOEWALJ083413"
Google Sunglasses,10,"GGOEGAAX0037,9180826,GGOEGHGR019499,9180827,9180825"
Google Men's Watershed Full Zip Hoodie Grey,10,"GGOEGAAX0568,GGOEGADJ056814,GGOEGADJ056818,9182739,GGOEGADJ056813"
Google Women's Insulated Thermal Vest Navy,10,"GGOEGAAX0585,9182760,GGOEGAPL058515,GGOEGAPL058517,GGOEGAPL058512"
Android Women's Short Sleeve Badge Tee Dark Heather,10,"9182176,GGOEAAEJ028213,9182177,GGOEAAEJ028215,GGOEAAEJ028216"
Google Men's Performance Full Zip Jacket Black,9,"9182751,9184620,GGOEGADB056914,GGOEGADB056917,GGOEGAAX0569"
Google Men's Vintage Badge Tee White,9,"GGOEGAAX0339,GGOEGAAQ033913,GGOEGAAQ033918,9182525,GGOEGAAQ033917"
Android Women's Short Sleeve Hero Tee Black,9,"GGOEGAAX0283,GGOEAAEB028313,GGOEAAEB028314,GGOEAAEB028315,9182181"
Google Women's Yoga Jacket Black,9,"GGOEGAPB058612,GGOEGAPB058615,GGOEGAPB058617,9182761,GGOEGAAX0586"
Google Men's Long Sleeve Raglan Ocean Blue,8,"9180905,GGOEGAEC033115,GGOEGAEC033116,GGOEGAEC033117,9182714"
Google Men's Performance 1/4 Zip Pullover Heather/Black,8,"9182750,GGOEGAAX0571,GGOEGADJ057114,GGOEGADJ057116,GGOEGADJ057118"
Google Toddler 1/4 Zip Fleece Pewter,8,"GGOEGAAX0657,9182853,GGOEGAXJ065730,GGOEGAXJ065755,9182857"
Google Men's Short Sleeve Hero Tee Light Blue,8,"GGOEGAAX0321,GGOEGAAC032114,9180958,GGOEGAAC032117,GGOEGAAC032113"
Google Men's Short Sleeve Performance Badge Tee Charcoal,8,"GGOEGAAX0570,GGOEGAAJ057014,9182752,GGOEGAAJ057018,GGOEGAAJ057017"
Google Men's Short Sleeve Performance Badge Tee Black,8,"GGOEGAAX0589,GGOEGAAB058918,GGOEGAAB058915,GGOEGAAB058916,GGOEGAAB058917"
Google Men's Short Sleeve Performance Badge Tee Navy,8,"GGOEGAAX0590,GGOEGAAL059015,GGOEGAAL059014,9182749,GGOEGAAL059013"
Google Men's Quilted Insulated Vest Black,8,"GGOEGAAX0596,9182745,GGOEGADB059616,GGOEGADB059614,GGOEGADB059613"
Google Men's Quilted Insulated Vest Battleship Grey,8,"GGOEGAAX0597,GGOEGADJ059714,GGOEGADJ059717,GGOEGADJ059718,9182746"
Android Women's Fleece Hoodie,8,"GGOEGAAX0361,GGOEAAQB036114,GGOEAAQB036113,GGOEAAQB036115,GGOEAAQB036116"
Google Women's V-Neck Tee Grey,8,"GGOEGAAX0298,9182688,GGOEGAEJ029815,GGOEGAEJ029816,9182686"
Google Women's Short Sleeve Performance Tee Charcoal,8,"GGOEGAAX0579,GGOEGALJ057912,GGOEGALJ057913,GGOEGALJ057916,GGOEGALJ057914"
Google Women's 1/4 Zip Jacket Charcoal,8,"GGOEGAAX0580,GGOEGAPJ058014,GGOEGAPJ058015,GGOEGAPJ058016,GGOEGAPJ058013"
